"Check ID","Title","Severity","Repository","SCM Link","File Path","Lines","First Seen","Repository Status","Package","Installed Version","Fixed Version","Vendor Fix","Reachability","Direct","Package Roots","EPSS Score","CISA Published Date"
"CVE-2024-45590","body-parser: Denial of Service Vulnerability in body-parser","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L9-L9","package.json","9","2025-02-02T13:18:45.303Z","Active","body-parser","1.18.3","1.20.3","Yes","Yes","Yes","-","N/A","N/A"
"CVE-2024-4068","braces: fails to limit the number of characters it can handle","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","braces","2.3.2","3.0.3","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2020-7610","bson: Deserialization of Untrusted Data could result in Code injection or Excessive CPU load","CRITICAL","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L18-L18","package.json","18","2025-02-02T13:18:45.303Z","Active","bson","1.0.9","1.1.4","Yes","No","No","mongodb@2.2.36","N/A","N/A"
"CVE-2019-2391","Incorrect parsing of certain JSON input may result in js-bson not corr ...","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L18-L18","package.json","18","2025-02-02T13:18:45.303Z","Active","bson","1.0.9","1.1.4","Yes","No","No","mongodb@2.2.36","N/A","N/A"
"CVE-2024-47764","cookie: cookie accepts cookie name, path, and domain with out of bounds characters","LOW","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L11-L11","package.json","11","2025-02-02T13:18:45.303Z","Active","cookie","0.3.1","0.7.0","Yes","No","No","express@4.16.4,express-session@1.15.6,csurf@1.9.0","N/A","N/A"
"CVE-2017-20165","A vulnerability classified as problematic has been found in debug-js d ...","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L16-L16","package.json","16","2025-02-02T13:18:45.303Z","Active","debug","2.2.0","3.1.0, 2.6.9","Yes","No","No","helmet@2.3.0","N/A","N/A"
"CVE-2017-16137","nodejs-debug: Regular expression Denial of Service","LOW","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L16-L16","package.json","16","2025-02-02T13:18:45.303Z","Active","debug","2.2.0","2.6.9, 3.1.0, 3.2.7, 4.3.1","Yes","No","No","helmet@2.3.0","N/A","N/A"
"CVE-2017-16137","nodejs-debug: Regular expression Denial of Service","LOW","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","debug","4.1.1","2.6.9, 3.1.0, 3.2.7, 4.3.1","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2022-38900","decode-uri-component: improper input validation resulting in DoS","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","decode-uri-component","0.2.0","0.2.1","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2024-29041","express: cause malformed URLs to be evaluated","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L13-L13","package.json","13","2025-02-02T13:18:45.303Z","Active","express","4.16.4","4.19.2, 5.0.0-beta.3","Yes","Yes","Yes","-","N/A","N/A"
"CVE-2024-43796","express: Improper Input Handling in Express Redirects","LOW","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L13-L13","package.json","13","2025-02-02T13:18:45.303Z","Active","express","4.16.4","4.20.0, 5.0.0","Yes","Yes","Yes","-","N/A","N/A"
"CVE-2023-45311","Code injection in fsevents","CRITICAL","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","fsevents","1.2.9","1.2.11","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2021-44906","minimist: prototype pollution","CRITICAL","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","minimist","1.2.5","1.2.6, 0.2.4","Yes","No","No","forever@2.0.0","N/A","N/A"
"GHSA-c3m8-x3cg-qm2c","Configuration Override in helmet-csp","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L16-L16","package.json","16","2025-02-02T13:18:45.303Z","Active","helmet-csp","1.2.2","2.9.1","Yes","No","No","helmet@2.3.0","N/A","N/A"
"CVE-2021-3820","inflect vulnerable to Inefficient Regular Expression Complexity","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","i","0.3.6","0.3.7","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2020-7788","nodejs-ini: Prototype pollution via malicious INI file","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","ini","1.3.5","1.3.6","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2019-20149","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","kind-of","6.0.2","6.0.3","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2017-16114","The marked module is vulnerable to a regular expression denial of serv ...","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L17-L17","package.json","17","2025-02-02T13:18:45.303Z","Active","marked","0.3.5","0.3.9","Yes","Yes","Yes","-","N/A","N/A"
"CVE-2022-21680","marked: regular expression block.def may lead Denial of Service","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L17-L17","package.json","17","2025-02-02T13:18:45.303Z","Active","marked","0.3.5","4.0.10","Yes","Yes","Yes","-","N/A","N/A"
"CVE-2022-21681","marked: regular expression inline.reflinkSearch may lead Denial of Service","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L17-L17","package.json","17","2025-02-02T13:18:45.303Z","Active","marked","0.3.5","4.0.10","Yes","Yes","Yes","-","N/A","N/A"
"CVE-2016-10531","marked is an application that is meant to parse and compile markdown.  ...","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L17-L17","package.json","17","2025-02-02T13:18:45.303Z","Active","marked","0.3.5","0.3.6","Yes","Yes","Yes","-","N/A","N/A"
"CVE-2019-10747","nodejs-set-value: prototype pollution in function set-value","CRITICAL","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","set-value","0.4.3","2.0.1, 3.0.1","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2017-1000427","marked version 0.3.6 and earlier is vulnerable to an XSS attack in the ...","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L17-L17","package.json","17","2025-02-02T13:18:45.303Z","Active","marked","0.3.5","0.3.7","Yes","Yes","Yes","-","N/A","N/A"
"NSWG-ECO-101","Sanitization bypass using HTML Entities","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L17-L17","package.json","17","2025-02-02T13:18:45.303Z","Active","marked","0.3.5",">=0.3.6","Yes","Yes","Yes","-","N/A","N/A"
"CVE-2024-4067","micromatch: vulnerable to Regular Expression Denial of Service","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","micromatch","3.1.10","4.0.8","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2022-3517","nodejs-minimatch: ReDoS via the braceExpand function","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","minimatch","3.0.4","3.0.5","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2020-7598","nodejs-minimist: prototype pollution allows adding or modifying properties of Object.prototype using a constructor or __proto__ payload","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","minimist","0.0.10","0.2.1, 1.2.3","Yes","No","No","forever@2.0.0,swig@1.4.2","N/A","N/A"
"CVE-2021-44906","minimist: prototype pollution","CRITICAL","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","minimist","0.0.8","1.2.6, 0.2.4","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2020-7598","nodejs-minimist: prototype pollution allows adding or modifying properties of Object.prototype using a constructor or __proto__ payload","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","minimist","0.0.8","0.2.1, 1.2.3","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2021-44906","minimist: prototype pollution","CRITICAL","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","minimist","1.2.0","1.2.6, 0.2.4","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2020-7598","nodejs-minimist: prototype pollution allows adding or modifying properties of Object.prototype using a constructor or __proto__ payload","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","minimist","1.2.0","0.2.1, 1.2.3","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2019-10746","nodejs-mixin-deep: prototype pollution in function mixin-deep","CRITICAL","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","mixin-deep","1.3.1","1.3.2, 2.0.1","Yes","No","No","forever@2.0.0","N/A","N/A"
"GHSA-mh5c-679w-hh4r","Denial of Service in mongodb","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L18-L18","package.json","18","2025-02-02T13:18:45.303Z","Active","mongodb","2.2.36","3.1.13","Yes","Yes","Yes","-","N/A","N/A"
"CVE-2017-20162","Vercel ms Inefficient Regular Expression Complexity vulnerability","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L16-L16","package.json","16","2025-02-02T13:18:45.303Z","Active","ms","0.7.1","2.0.0","Yes","No","No","helmet@2.3.0","N/A","N/A"
"CVE-2022-21803","nconf: Prototype pollution in memory store","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","nconf","0.10.0","0.11.4","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2022-21803","nconf: Prototype pollution in memory store","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","nconf","0.6.9","0.11.4","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2024-45296","path-to-regexp: Backtracking regular expressions cause ReDoS","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L13-L13","package.json","13","2025-02-02T13:18:45.303Z","Active","path-to-regexp","0.1.7","1.9.0, 0.1.10, 8.0.0, 3.3.0, 6.3.0","Yes","No","No","express@4.16.4","N/A","N/A"
"CVE-2024-52798","path-to-regexp: path-to-regexp Unpatched `path-to-regexp` ReDoS in 0.1.x","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L13-L13","package.json","13","2025-02-02T13:18:45.303Z","Active","path-to-regexp","0.1.7","0.1.12","Yes","No","No","express@4.16.4","N/A","N/A"
"CVE-2022-24999","express: ""qs"" prototype poisoning causes the hang of the node process","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L9-L9","package.json","9","2025-02-02T13:18:45.303Z","Active","qs","6.5.2","6.10.3, 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, 6.2.4","Yes","No","No","body-parser@1.18.3,express@4.16.4","N/A","N/A"
"CVE-2021-23440","nodejs-set-value: type confusion allows bypass of CVE-2019-10747","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","set-value","0.4.3","4.0.1, 2.0.1, 3.0.3","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2022-25883","nodejs-semver: Regular expression denial of service","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L18-L18","package.json","18","2025-02-02T13:18:45.303Z","Active","semver","5.6.0","7.5.2, 6.3.1, 5.7.2","Yes","No","No","mongodb@2.2.36","N/A","N/A"
"CVE-2022-25883","nodejs-semver: Regular expression denial of service","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","semver","5.7.0","7.5.2, 6.3.1, 5.7.2","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2024-43799","send: Code Execution Vulnerability in Send Library","LOW","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L13-L13","package.json","13","2025-02-02T13:18:45.303Z","Active","send","0.16.2","0.19.0","Yes","No","No","express@4.16.4","N/A","N/A"
"CVE-2024-43800","serve-static: Improper Sanitization in serve-static","LOW","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L13-L13","package.json","13","2025-02-02T13:18:45.303Z","Active","serve-static","1.13.2","1.16.0, 2.1.0","Yes","No","No","express@4.16.4","N/A","N/A"
"CVE-2021-23440","nodejs-set-value: type confusion allows bypass of CVE-2019-10747","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","set-value","2.0.0","4.0.1, 2.0.1, 3.0.3","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2023-25345","Arbitrary local file read vulnerability during template rendering ","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L22-L22","package.json","22","2025-02-02T13:18:45.303Z","Active","swig","1.4.2","-","No","Yes","Yes","-","N/A","N/A"
"CVE-2021-32803","nodejs-tar: Insufficient symlink protection allowing arbitrary file creation and overwrite","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","tar","4.4.8","3.2.3, 4.4.15, 5.0.7, 6.1.2","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2021-32804","nodejs-tar: Insufficient absolute path sanitization allowing arbitrary file creation and overwrite","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","tar","4.4.8","3.2.2, 4.4.14, 5.0.6, 6.1.1","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2021-37701","nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","tar","4.4.8","4.4.16, 5.0.8, 6.1.7","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2021-37712","nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","tar","4.4.8","4.4.18, 5.0.10, 6.1.9","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2021-37713","nodejs-tar: Arbitrary File Creation/Overwrite on Windows via insufficient relative path sanitization","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","tar","4.4.8","4.4.18, 5.0.10, 6.1.9","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2024-28863","node-tar: denial of service while parsing a tar file due to lack of folders depth validation","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","tar","4.4.8","6.2.1","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2015-8858","The uglify-js package before 2.6.0 for Node.js allows attackers to cau ...","MEDIUM","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L22-L22","package.json","22","2025-02-02T13:18:45.303Z","Active","uglify-js","2.4.24",">=2.6.0","Yes","No","No","swig@1.4.2","N/A","N/A"
"CVE-2021-23358","nodejs-underscore: Arbitrary code execution via the template function","CRITICAL","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L23-L23","package.json","23","2025-02-02T13:18:45.303Z","Active","underscore","1.9.1","1.12.1","Yes","No","Yes","-","N/A","N/A"
"NSWG-ECO-445","Out-of-bounds Read","LOW","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","utile","0.2.1","-","No","No","No","forever@2.0.0","N/A","N/A"
"NSWG-ECO-445","Out-of-bounds Read","LOW","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","utile","0.3.0","-","No","No","No","forever@2.0.0","N/A","N/A"
"CVE-2020-7774","nodejs-y18n: prototype pollution vulnerability","HIGH","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","y18n","3.2.1","3.2.2, 4.0.1, 5.0.5","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2020-28168","nodejs-axios: allows an attacker to bypass a proxy by providing a URL that responds with a redirect to a restricted host or IP address","MEDIUM","trivy-plugin-e2e","https://github.aquaseclabs.com/argon-monitor/trivy-plugin-e2e/blob/95b8c1a7573f44a7965aa7973759f723a1c0016b/files_for_integration/push_files/package.json#L16-L16","files_for_integration/push_files/package.json","16","2025-02-09T08:29:12.138Z","Active","axios","0.19.2","0.21.1","Yes","No","Yes","-","N/A","N/A"
"CVE-2021-3749","nodejs-axios: Regular expression denial of service in trim function","HIGH","trivy-plugin-e2e","https://github.aquaseclabs.com/argon-monitor/trivy-plugin-e2e/blob/95b8c1a7573f44a7965aa7973759f723a1c0016b/files_for_integration/push_files/package.json#L16-L16","files_for_integration/push_files/package.json","16","2025-02-09T08:29:12.138Z","Active","axios","0.19.2","0.21.2","Yes","No","Yes","-","N/A","N/A"
"CVE-2023-45857","axios: exposure of confidential data stored in cookies","MEDIUM","trivy-plugin-e2e","https://github.aquaseclabs.com/argon-monitor/trivy-plugin-e2e/blob/95b8c1a7573f44a7965aa7973759f723a1c0016b/files_for_integration/push_files/package.json#L16-L16","files_for_integration/push_files/package.json","16","2025-02-09T08:29:12.138Z","Active","axios","0.19.2","1.6.0, 0.28.0","Yes","No","Yes","-","N/A","N/A"
"CVE-2024-45590","body-parser: Denial of Service Vulnerability in body-parser","HIGH","trivy-plugin-e2e","https://github.aquaseclabs.com/argon-monitor/trivy-plugin-e2e/blob/95b8c1a7573f44a7965aa7973759f723a1c0016b/files_for_integration/push_files/package.json#L13-L13","files_for_integration/push_files/package.json","13","2025-02-09T08:29:12.138Z","Active","body-parser","1.20.0","1.20.3","Yes","No","No","express@4.18.1","N/A","N/A"
"CVE-2024-47764","cookie: cookie accepts cookie name, path, and domain with out of bounds characters","LOW","trivy-plugin-e2e","https://github.aquaseclabs.com/argon-monitor/trivy-plugin-e2e/blob/95b8c1a7573f44a7965aa7973759f723a1c0016b/files_for_integration/push_files/package.json#L13-L13","files_for_integration/push_files/package.json","13","2025-02-09T08:29:12.138Z","Active","cookie","0.5.0","0.7.0","Yes","No","No","express@4.18.1","N/A","N/A"
"CVE-2024-29041","express: cause malformed URLs to be evaluated","MEDIUM","trivy-plugin-e2e","https://github.aquaseclabs.com/argon-monitor/trivy-plugin-e2e/blob/95b8c1a7573f44a7965aa7973759f723a1c0016b/files_for_integration/push_files/package.json#L13-L13","files_for_integration/push_files/package.json","13","2025-02-09T08:29:12.138Z","Active","express","4.18.1","4.19.2, 5.0.0-beta.3","Yes","No","Yes","-","N/A","N/A"
"CVE-2024-43796","express: Improper Input Handling in Express Redirects","LOW","trivy-plugin-e2e","https://github.aquaseclabs.com/argon-monitor/trivy-plugin-e2e/blob/95b8c1a7573f44a7965aa7973759f723a1c0016b/files_for_integration/push_files/package.json#L13-L13","files_for_integration/push_files/package.json","13","2025-02-09T08:29:12.138Z","Active","express","4.18.1","4.20.0, 5.0.0","Yes","No","Yes","-","N/A","N/A"
"CVE-2022-0155","follow-redirects: Exposure of Private Personal Information to an Unauthorized Actor","HIGH","trivy-plugin-e2e","https://github.aquaseclabs.com/argon-monitor/trivy-plugin-e2e/blob/95b8c1a7573f44a7965aa7973759f723a1c0016b/files_for_integration/push_files/package.json#L16-L16","files_for_integration/push_files/package.json","16","2025-02-09T08:29:12.138Z","Active","follow-redirects","1.5.10","1.14.7","Yes","No","No","axios@0.19.2","N/A","N/A"
"CVE-2022-0536","follow-redirects: Exposure of Sensitive Information via Authorization Header leak","MEDIUM","trivy-plugin-e2e","https://github.aquaseclabs.com/argon-monitor/trivy-plugin-e2e/blob/95b8c1a7573f44a7965aa7973759f723a1c0016b/files_for_integration/push_files/package.json#L16-L16","files_for_integration/push_files/package.json","16","2025-02-09T08:29:12.138Z","Active","follow-redirects","1.5.10","1.14.8","Yes","No","No","axios@0.19.2","N/A","N/A"
